FishCode,FishDesc,Consigned,Sold,LowPrice,AvgPrice,HighPrice,MonthNum,YearNum,FishGroup
HWSL,"Hake, white | large",9708.0,9708,0.9,1.87,2.78,11,2010,Hake
PADM,"Pollock, Atl | medium",107579.0,107579,0.62,0.73,1.88,11,2010,Pollock
PADS,"Pollock, Atl | small",24475.0,24475,0.53,0.67,1.73,11,2010,Pollock
HWSS,"Hake, white | small",327.0,327,0.49,1.2,1.56,11,2010,Hake
POWX,Redfish | mixed,7612.0,7612,0.49,0.96,1.56,11,2010,Redfish
HWSM,"Hake, white | medium",1411.0,1411,0.55,1.66,2.45,11,2010,Hake
HDDL,Haddock | large,430.0,430,1.13,2.59,3.01,11,2010,Haddock
HWSJ,"Hake, white | sow",1262.0,1262,1.82,2.69,3.72,11,2010,Hake
PADL,"Pollock, Atl | large",122653.0,121852,0.63,0.86,2.17,11,2010,Pollock
CADS,Cod | scrod,36.0,36,0.83,1.22,1.47,12,2010,Cod
HWSS,"Hake, white | small",412.0,412,0.49,0.79,1.09,12,2010,Hake
CASX,Cod | scaler,89.0,89,0.89,0.89,0.89,12,2010,Cod
FYWL,Yellowtail | large,229.0,229,1.54,1.54,1.54,12,2010,Yellowtail
FYWS,Yellowtail | small,189.0,189,0.99,1.18,1.18,12,2010,Yellowtail
CADL,Cod | large,13424.0,12824,1.74,2.64,3.82,12,2010,Cod
PASX,"Pollock, Atl | scaler",54.0,0,0.0,0.0,0.0,12,2010,Pollock
PADL,"Pollock, Atl | large",79364.0,79364,0.66,0.93,1.71,12,2010,Pollock
CADM,Cod | market,30902.0,30902,1.07,1.92,3.77,12,2010,Cod
HDDL,Haddock | large,7020.0,7020,1.28,1.45,2.79,12,2010,Haddock
HDDS,Haddock | scrod,36755.0,36755,0.99,1.13,1.73,12,2010,Haddock
POWX,Redfish | mixed,7666.0,7666,0.29,0.78,1.2,12,2010,Redfish
HWSL,"Hake, white | large",7832.0,7832,0.95,1.51,2.23,12,2010,Hake
PADS,"Pollock, Atl | small",17265.0,17265,0.63,0.84,1.64,12,2010,Pollock
HWSJ,"Hake, white | sow",1996.0,976,0.0,2.1,2.99,12,2010,Hake
HWSM,"Hake, white | medium",1464.0,1464,0.89,1.17,1.58,12,2010,Hake
PADM,"Pollock, Atl | medium",70894.0,70894,0.65,0.86,1.63,12,2010,Pollock
FYWS,Yellowtail | small,2.0,2,0.9,0.9,0.9,1,2009,Yellowtail
PADL,"Pollock, Atl | large",21035.0,21035,0.37,0.72,2.26,1,2009,Pollock
CADL,Cod | large,1225.0,1196,0.0,2.21,3.3,1,2009,Cod
HDDS,Haddock | scrod,277.0,277,0.75,0.91,1.29,1,2009,Haddock
POWX,Redfish | mixed,787.0,770,0.0,0.94,1.03,1,2009,Redfish
HWSM,"Hake, white | medium",326.0,326,0.72,1.69,1.83,1,2009,Hake
PADM,"Pollock, Atl | medium",27597.0,27597,0.36,0.57,2.13,1,2009,Pollock
FYWL,Yellowtail | large,4.0,4,0.6,0.74,0.87,1,2009,Yellowtail
HWSL,"Hake, white | large",2445.0,2445,1.31,2.0,2.33,1,2009,Hake
PADS,"Pollock, Atl | small",10486.0,9710,0.0,0.48,1.76,1,2009,Pollock
