YYYY/MM,FishGroup,Country,AmountSold_by_Kilo,AvgPrice_per_Kilo,Imported
2005-04,Haddock,ICELAND,1871.0,6.588989845002672,Yes
2005-04,Haddock,USA,57803.15882102131,3.7158190725363722,No
2005-04,Hake,USA,45575.65476136477,4.243787632075002,No
2005-04,Pollock,ICELAND,953.0,3.10598111227702,Yes
2005-04,Pollock,USA,174104.38080031934,2.0974498075313806,No
2005-04,Redfish,USA,15687.964365741036,1.3448181999999995,No
2005-05,Cod,NORWAY,11208.0,15.439685938615275,Yes
2005-05,Cod,USA,28446.62572234671,4.758431854842618,No
2005-05,Haddock,USA,46362.638459235604,3.3591573986224703,No
2005-05,Hake,USA,83493.75402563708,2.6065858762701546,No
2005-05,Pollock,ICELAND,2336.0,3.070633561643836,Yes
2005-05,Pollock,USA,112994.07607660278,2.1417104188359306,No
2005-05,Redfish,USA,15716.087126126044,1.2786795999999998,No
